  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 5510                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.6489   0.00610   0.00127  -0.1552   0.7493   0.4008
   0.250   0.6770   0.00604   0.00131  -0.1553   0.7410   0.4423
   0.500   0.7047   0.00601   0.00135  -0.1553   0.7330   0.4894
   0.750   0.7325   0.00593   0.00141  -0.1553   0.7243   0.5459
   1.000   0.7599   0.00584   0.00148  -0.1552   0.7159   0.6199
   1.250   0.7863   0.00563   0.00157  -0.1550   0.7068   0.7510
   2.250   0.8917   0.00553   0.00178  -0.1534   0.6681   1.0000
   2.500   0.9187   0.00565   0.00186  -0.1532   0.6575   1.0000
   2.750   0.9456   0.00578   0.00193  -0.1530   0.6457   1.0000
   3.000   0.9725   0.00590   0.00202  -0.1528   0.6332   1.0000
   3.250   0.9989   0.00605   0.00212  -0.1525   0.6190   1.0000
   3.500   1.0245   0.00624   0.00223  -0.1520   0.6005   1.0000
   3.750   1.0493   0.00647   0.00236  -0.1514   0.5754   1.0000
   4.000   1.0737   0.00673   0.00252  -0.1507   0.5505   1.0000
   4.250   1.0984   0.00699   0.00268  -0.1501   0.5265   1.0000
   4.500   1.1227   0.00726   0.00286  -0.1495   0.5023   1.0000
   4.750   1.1464   0.00759   0.00307  -0.1487   0.4750   1.0000
   5.000   1.1694   0.00795   0.00330  -0.1479   0.4446   1.0000
   5.250   1.1917   0.00837   0.00357  -0.1469   0.4095   1.0000
   5.500   1.2126   0.00889   0.00389  -0.1457   0.3693   1.0000
   5.750   1.2319   0.00951   0.00428  -0.1442   0.3212   1.0000
   6.000   1.2499   0.01023   0.00472  -0.1426   0.2695   1.0000
   6.250   1.2661   0.01106   0.00524  -0.1406   0.2133   1.0000
   6.500   1.2814   0.01193   0.00582  -0.1385   0.1601   1.0000
   6.750   1.2974   0.01273   0.00638  -0.1366   0.1185   1.0000
   7.000   1.3139   0.01345   0.00692  -0.1347   0.0874   1.0000
   7.250   1.3313   0.01407   0.00742  -0.1329   0.0665   1.0000
   7.500   1.3482   0.01464   0.00791  -0.1310   0.0527   1.0000
   7.750   1.3650   0.01516   0.00839  -0.1291   0.0438   1.0000
   8.000   1.3821   0.01567   0.00888  -0.1273   0.0374   1.0000
   8.250   1.3979   0.01626   0.00944  -0.1252   0.0319   1.0000
   8.500   1.4158   0.01672   0.00992  -0.1236   0.0291   1.0000
   8.750   1.4302   0.01741   0.01060  -0.1214   0.0256   1.0000
   9.000   1.4480   0.01788   0.01112  -0.1198   0.0241   1.0000
   9.250   1.4638   0.01848   0.01173  -0.1180   0.0223   1.0000
   9.500   1.4760   0.01933   0.01260  -0.1156   0.0202   1.0000
   9.750   1.4927   0.01987   0.01319  -0.1140   0.0193   1.0000
  10.000   1.5083   0.02050   0.01386  -0.1122   0.0182   1.0000
